NumCidades,NumAbelhas,NumFormigas,CustoABC,TempoABC,CustoACO,TempoACO
25,80,40,4.833293,6.9233,4.753721,48.7470
25,80,50,4.833293,7.9864,4.753721,48.0007
25,80,60,4.833293,6.6574,4.753721,53.4417
25,80,70,4.833293,7.1232,4.753721,63.8533
25,80,80,4.833293,6.8900,4.753721,71.4178
25,80,90,4.833293,6.8601,4.753721,81.2023
25,90,10,4.753721,7.6534,4.753721,8.9567
25,90,20,4.753721,7.6673,4.753721,18.0217
25,90,30,4.753721,7.6301,4.753721,26.9713
25,90,40,4.753721,7.7942,4.753721,36.3170
25,90,50,4.753721,7.5478,4.753721,45.1123
25,90,60,4.753721,7.8226,4.753721,56.0378
25,90,70,4.753721,7.6025,4.753721,63.3315
25,90,80,4.753721,7.7778,4.753721,71.7439
25,90,90,4.753721,7.7381,4.753721,82.4286
30,10,10,5.542824,0.9277,5.119125,11.3323
30,10,20,5.542824,0.9077,5.128906,22.5792
30,10,30,5.542824,0.9190,5.119125,34.5365
30,10,40,5.542824,0.9827,5.119125,45.6766
30,10,50,5.542824,0.9020,5.119125,55.8711
30,10,60,5.542824,0.9054,5.119125,67.2162
30,10,70,5.542824,0.9024,5.119125,79.8839
30,10,80,5.542824,0.9105,5.119125,90.6265
30,10,90,5.542824,0.9113,5.119125,102.1603
30,20,10,5.362734,1.8036,5.128906,11.3584
30,20,20,5.362734,1.7912,5.119125,22.6907
30,20,30,5.362734,1.8185,5.119125,34.0682
30,20,40,5.362734,1.8023,5.119125,45.0181
30,20,50,5.362734,1.7494,5.119125,55.8965
30,20,60,5.362734,1.9053,5.119125,70.9538
30,20,70,5.362734,1.7688,5.119125,78.9613
30,20,80,5.362734,1.8296,5.119125,112.5887
30,20,90,5.362734,2.1939,5.119125,122.9123
30,30,10,5.283315,3.0371,5.128906,13.3472
30,30,20,5.283315,3.1538,5.119125,27.6927
30,30,30,5.283315,2.8935,5.119125,39.8494
30,30,40,5.283315,3.0529,5.128906,58.1178
30,30,50,5.283315,3.3704,5.119125,68.9711
30,30,60,5.283315,3.2205,5.128906,82.3045
30,30,70,5.283315,3.8117,5.119125,93.3375
30,30,80,5.283315,3.0649,5.119125,107.1310
30,30,90,5.283315,3.0130,5.119125,119.1535
